team1,team2,goals1,goals2,xg1,xg2,dominance_team1_xgshare,fv1,fv2,luck_match_pct,low_xg_goal_count,match_id,match_date,competition_id,season_id
Everton LFC,Brighton & Hove Albion WFC,0,0,1.3849709577,0.75429217,0.6474056135343355,-1.3849709577,-0.75429217,22.76866472158227,0,3775582,2020-10-18,37,90
Manchester City WFC,Manchester United,0,0,1.4848741815,0.52004113,0.740616909344203,-1.4848741815,-0.52004113,32.48871397727916,0,3775658,2021-02-12,37,90
France Women's,Netherlands Women's,0,0,4.2689015470000005,0.596458279,0.8774071599365403,-4.2689015470000005,-0.596458279,43.01391385543706,0,3844387,2022-07-23,53,106
Paris Saint-Germain,Stade Brestois,0,0,2.4703787850000003,0.6218081049999999,0.7989099213210881,-2.4703787850000003,-0.6218081049999999,37.414721402734195,0,3837902,2023-03-11,7,235
Bengaluru,Chennaiyin,0,0,1.984856432,0.6843915334,0.7436013655263982,-1.984856432,-0.6843915334,32.75967162243602,0,3813283,2021-12-30,1238,108
Mauritania,Algeria,0,0,1.3282860823,1.1864072147,0.5282099745064855,-1.3282860823,-1.1864072147,5.340674328015581,0,3920415,2024-01-23,1267,107
Paris Saint-Germain,Lyon,0,0,1.948500646,0.8107324300000001,0.7061747204135067,-1.948500646,-0.8107324300000001,29.19599278387922,0,3837717,2022-09-18,7,235
Jamshedpur,Hyderabad,0,0,0.989153114,0.488024891,0.6696235055300597,-0.989153114,-0.488024891,25.33117552314555,0,3813288,2021-12-02,1238,108
Chelsea FCW,Aston Villa,0,0,1.324919,0.347815372,0.7920677796653778,-1.324919,-0.347815372,36.87408920847236,0,3775646,2021-01-27,37,90
Bayer Leverkusen,Bayern Munich,0,0,2.218056773,2.209524405,0.5009635473249363,-2.218056773,-2.209524405,0.1923388098957378,0,3895074,2023-09-15,9,281
Denmark,Finland,0,0,1.9525803769999999,0.2884817,0.8712745608608145,-1.9525803769999999,-0.2884817,42.61280858401252,0,3788742,2021-06-12,55,43
England,Wales,0,0,2.91548517,0.20800949800000001,0.9334048813557956,-2.91548517,-0.20800949800000001,46.43267782425386,0,3857261,2022-11-29,43,106
Tottenham Hotspur Women,West Ham United LFC,0,0,0.793853057,0.779882997,0.5044385016040308,-0.793853057,-0.779882997,0.8798895385497021,0,3764230,2020-09-06,37,90
France Women's,Jamaica Women's,0,0,1.899174133,0.1644574482,0.9203067787398523,-1.899174133,-0.1644574482,45.67029043460545,0,3893798,2023-07-23,72,107
Bayer Leverkusen,FC Köln,0,0,2.9421685534,1.190464235,0.7119356362022905,-2.9421685534,-1.190464235,29.768932109204155,0,3895107,2023-10-08,9,281
Chennaiyin,ATK Mohun Bagan,0,0,0.713644767,0.264724423,0.7294227723994456,-0.713644767,-0.264724423,31.452647364539565,0,3817889,2022-03-03,1238,108
Australia Women's,Nigeria Women's,0,0,2.330214533,1.1819037143,0.6634783822530439,-2.330214533,-1.1819037143,24.639594390084426,0,3893809,2023-07-27,72,107
Mumbai City,East Bengal,0,0,1.288960797,1.018564461,0.5585901140328927,-1.288960797,-1.018564461,10.488927849060103,0,3817885,2022-02-22,1238,108
France,Poland,0,0,1.8914679426,1.1790940699999999,0.616000567595897,-1.8914679426,-1.1790940699999999,18.831243621839437,0,3938643,2024-06-25,55,282
FSV Mainz 05,Bayer Leverkusen,0,0,1.141172176,1.1127182105,0.506312189286229,-1.141172176,-1.1127182105,1.2466990563919957,0,3895250,2024-02-23,9,281
Paris Saint-Germain,Saint-Étienne,0,0,2.043199122,0.864011098,0.7028040517826744,-2.043199122,-0.864011098,28.85641471022519,0,3802709,2022-02-26,7,108
Everton LFC,Tottenham Hotspur Women,0,0,1.320194248,0.362227538,0.7846987354691803,-1.320194248,-0.362227538,36.28127873800583,0,3764239,2020-09-13,37,90
Brazil Women's,Jamaica Women's,0,0,1.2934621858,0.16734487800000003,0.885443545457204,-1.2934621858,-0.16734487800000003,43.53112600286425,0,3893832,2023-08-02,72,107
Mali,Tunisia,0,0,0.845760372,0.5300487537,0.6147367074409281,-0.845760372,-0.5300487537,18.66436574424889,0,3920404,2024-01-20,1267,107
Reading WFC,Birmingham City WFC,0,0,1.071954984,0.725689742,0.5963108107491535,-1.071954984,-0.725689742,16.151109289492325,0,3775612,2021-04-25,37,90
Odisha,Mumbai City,0,0,1.589911622,1.165335348,0.5770486781444496,-1.589911622,-1.165335348,13.35219732106594,0,3813273,2022-01-03,1238,108
Paris Saint-Germain,Nantes,0,0,3.823521508,0.4280334543,0.8993230810619831,-3.823521508,-0.4280334543,44.402627873226024,0,3837695,2022-09-03,7,235
Australia Women's,Republic of Ireland Women's,0,0,1.4420012665,0.694994207,0.6747797477260309,-1.4420012665,-0.694994207,25.901747691010087,0,3893788,2023-07-20,72,107
Nigeria,Equatorial Guinea,0,0,2.6872513775,0.332085009,0.8900139081935977,-2.6872513775,-0.332085009,43.82110263705689,0,3920386,2024-01-14,1267,107
Hyderabad,East Bengal,0,0,2.9277315705,1.243590206,0.7018714276596878,-2.9277315705,-1.243590206,28.761881407939004,0,3817878,2022-01-24,1238,108
Spain,Italy,0,0,4.53613009,4.315650622,0.5124539612521752,-4.53613009,-4.315650622,2.4302595342895095,0,3795220,2021-07-06,55,43
NorthEast United,Odisha,0,0,1.3655431644,0.7258270074000001,0.6529418764850723,-1.3655431644,-0.7258270074000001,23.42350552064321,0,3813301,2021-12-10,1238,108
Chelsea FCW,Everton LFC,0,0,2.679821778,0.933902797,0.7415677986471894,-2.679821778,-0.933902797,32.57528159770034,0,3775645,2020-11-08,37,90
Bengaluru,Mumbai City,0,0,1.293247382,1.070646524,0.5470835128080405,-1.293247382,-1.070646524,8.606275222291533,0,3813274,2021-12-04,1238,108
